ID,SMILES,Type,Value
10759,CC(=O)OCC[N+](C)(C)C,EC50,1.1
22794,O=C1N(Cc2ccccc2)c2ccccc2C1=O,EC50,10
25761,CC(C)NCC(O)COc1cccc2ccccc12,EC50,<5012
35254,CN1CCN(CC1)C1=Nc2ccccc2Nc2sc(C)cc12 |t:8|,EC50,>100000
43822,CCOC(=O)N1CCC(CC1)NCCNC(=O)c1ccccc1C,EC50,1600
46858,COC(=O)C1=CCCN(C)C1 |t:4|,EC50,3200
46858,COC(=O)C1=CCCN(C)C1 |t:4|,EC50,73
193784,"C[C@H](CN1[C@H]2CC[C@@H]1C[C@@H](C2)OCC1CC1)Cn1ncc2ccccc12 |r,THB:2:3:8.9.10:5.6|",EC50,1.3
193785,"COCC[C@@H]1C[C@@H]2CC[C@H](C1)N2C[C@@H](C)Cn1ncc2ccccc12 |r,THB:12:11:10.4.5:7.8|",EC50,4
193787,"C[C@H](CN1[C@H]2CC[C@@H]1C[C@@H](C2)OCC1CC1)Cn1ncc2ccc(C)cc12 |r,THB:2:3:8.9.10:5.6|",EC50,1.3
193788,"C[C@H](CN1[C@H]2CC[C@@H]1C[C@@H](C2)OCC=C)Cn1ncc2ccccc12 |r,THB:2:3:8.9.10:5.6|",EC50,7.9
193789,"C[C@H](CN1[C@H]2CC[C@@H]1C[C@@H](C2)OCC1CC1)Cn1ncc2ccc(F)cc12 |r,THB:2:3:8.9.10:5.6|",EC50,0.32
193790,"C[C@H](CN1[C@H]2CC[C@@H]1C[C@@H](C2)OCC=C)Cn1ncc2ccc(F)cc12 |r,THB:2:3:8.9.10:5.6|",EC50,1.3
193791,"COCC[C@@H]1C[C@@H]2CC[C@H](C1)N2C[C@@H](C)Cn1ncc2ccc(F)cc12 |r,THB:12:11:10.4.5:7.8|",EC50,0.4
193795,"CCOC(=O)c1ccc2cnn(C[C@H](C)CN3[C@H]4CC[C@@H]3C[C@@H](C4)OCC3CC3)c2c1 |r,THB:15:16:21.22.23:18.19|",EC50,32
193800,"COc1ccc2cnn(C[C@H](C)CN3[C@H]4CC[C@@H]3C[C@@H](C4)OCC3CC3)c2c1 |r,THB:12:13:18.19.20:15.16|",EC50,10
193802,"COCC[C@@H]1C[C@@H]2CC[C@H](C1)N2C[C@@H](C)Cn1ncc2ccc(C)cc12 |r,THB:12:11:10.4.5:7.8|",EC50,0.5
193803,"COCC[C@@H]1C[C@@H]2CC[C@H](C1)N2C[C@@H](C)Cn1ncc2ccc(OC)cc12 |r,THB:12:11:10.4.5:7.8|",EC50,6.3
193804,"C[C@H](CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC1CCCC1)Cn1ncc2ccccc12 |r,THB:2:3:8.9.10:5.6|",EC50,4
