SMILES,Type,Relation,Value
O=C(NC1CCN(CCCN2C(=O)COc3ccccc32)CC1)c1ccccc1,EC50,,
Cc1ccccc1CN1CCC(N2CCC(n3c(=O)[nH]c4cc(F)ccc43)CC2)CC1,EC50,'=',0.85
O=C(c1cccc(Cl)c1)N1CCC(N2CCC(n3c(=O)[nH]c4cc(Cl)ccc43)CC2)CC1,EC50,'=',7110
CC(=O)OCC[N+](C)(C)C,EC50,'=',1.1
,,,
O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)CCc3cc(F)ccc32)CC1,EC50,'=',49
CCO[C@H]1CC[C@](C)(N2CCC(n3c(=O)oc4ccc(S(C)(=O)=O)cc43)CC2)CC1,EC50,'=',12.59
CCO[C@H]1CC[C@](C)(N2CCC(n3c(=O)oc4ccc(S(=O)(=O)CC)cc43)CC2)CC1,EC50,'=',199.53
COCCO[C@H]1CC[C@](C)(N2CCC(n3c(=O)oc4ccc(C#N)cc43)CC2)CC1,EC50,'=',10
C(#Cc1ccccc1)COc1nsnc1[C@H]1CN2CCC[C@H]1C2,EC50,'=',0.5
C(#Cc1ccccc1)COc1nsnc1[C@@H]1CN2CCC[C@@H]1C2,EC50,,
O=C(NC1CCN(CCCN2C(=O)COc3ccccc32)CC1)C1CC1,EC50,'=',110
O=c1[nH]c2ccccc2n1C1CCN(C2CCCCC2)CC1,EC50,'=',12.59
C[N+](C)(C)CCOC(N)=O.[Cl-],EC50,'=',3162.28
CN1CCC=C(c2nsnc2OCCOCCOCCOCCOc2nsnc2C2=CCCN(C)C2)C1,EC50,'=',290
CCCOc1nsnc1OC1CN2CCC1CC2,EC50,,
CN1CCC=C(c2nsnc2OCCCCCCCCCC2CCN(CCCN3C(=O)CCc4ccccc43)CC2)C1,EC50,'=',870.96
O=C1CCc2ccccc2N1CCCN1CCC(CCCCCO)CC1,EC50,'=',204.17
O=C1CCc2ccccc2N1CCCN1CCC(CCCCCCCCCO)CC1,EC50,'=',295.12
CCCCCCOc1nsnc1C1=CCCN(C)C1,EC50,'=',16218.1
,,,
,,,
Cc1ccc(Cn2nc3c4ccccc4n(Cc4ccccn4)cc-3c2=O)c(C)c1,EC50,'=',3790
O=c1c2cn(Cc3ccccc3)c3ccccc3c-2nn1Cc1ccccn1,EC50,'>',10000
Cc1ccc(Cn2nc3c4ccccc4n(Cc4ccc(F)cc4)cc-3c2=O)c(C)c1,EC50,'=',2041.74
Cc1ccc(Cn2nc3c4ccccc4n(Cc4ccncc4)cc-3c2=O)c(C)c1,EC50,'=',1548.82
,,,
Cc1cccc(Cn2nc3c4ccccc4n(Cc4ccccc4)cc-3c2=O)c1,EC50,,
Cc1ccc(Cn2nc3c4ccccc4n(Cc4ccc(-c5cnn(C)c5)cc4F)cc-3c2=O)c(C)c1,EC50,'=',1949.84
O=c1c2cn(Cc3ccccc3)c3ccccc3c-2nn1Cc1ccccn1,EC50,'>',10000
O=c1c2c[nH]c3ccccc3c-2nn1[C@@H]1CCCC[C@H]1O,EC50,,
Cc1ccc(Cn2nc3c4ccccc4n(Cc4ccc(-n5cccn5)cc4)cc-3c2=O)c(C)c1,EC50,'=',1150
COc1ccc(Cn2cc3c(=O)n(Cc4ccc(C)cc4C)nc-3c3ccccc32)c(F)c1,EC50,,
O=c1c2cn(Cc3ccccc3)c3ccccc3c-2nn1Cc1cccc(F)c1,EC50,,
O=c1c2cn(Cc3ccccc3)c3ccccc3c-2nn1Cc1ccccc1F,EC50,'=',1000
Cn1nc2c3ccccc3n(Cc3ccccc3)cc-2c1=O,EC50,'>',10000
O=c1c2cn(Cc3ccc(-n4cccn4)cc3)c3ccccc3c-2nn1Cc1ccccc1,EC50,'>',10
CN1CCC=C(c2nsnc2SCCCCSc2nsnc2C2=CCCN(C)C2)C1,EC50,'=',570
C[N+](C)(C)CCOC(N)=O.[Cl-],EC50,'=',4600
,,,
O=C(NC1CCN(CCCN2C(=O)COc3ccccc32)CC1)C1CCC1,EC50,'=',160
CCC(=O)NC1CCN(CCCN2C(=O)COc3cc(F)c(F)cc32)CC1,EC50,'=',10
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)NCCCCCC4CCN(CCCC(=O)c5ccccc5C)CC4)cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,EC50,'=',25118.86
,,,
Cn1ccc2c(Cc3ccc(-c4nccs4)cc3)cc(C(=O)N[C@@H]3CCOC[C@H]3O)nc21,EC50,'=',89.13
CCSCc1nsnc1OC1CN2CCC1CC2,EC50,,
O=C(c1ccccc1C(F)(F)F)N1CCC(N2CCC(n3c(=O)[nH]c4cc(Cl)ccc43)CC2)CC1,EC50,'=',11100
C[N+](C)(C)CC#CCOC1=NOCC1,EC50,'=',2.042
CC[C@@H]1SC2(CCNCC2)N(CCCCCCCCOc2ccc3cc(Cn4cc(C(=O)O)c(=O)c5cccc(F)c54)ccc3c2)C1=O,EC50,'=',60.26
COc1ccc(C(=O)N[C@@H]2c3cc(/N=C(\C)N(C)Cc4ccc(F)cc4)ccc3C[C@H]2O)cc1,EC50,'=',166
CO/N=C(\C#N)[C@H]1CN2CCC1CC2,EC50,'=',63.6
CB1C=Cc2c(cccc2OCC(O)CN(C)C)N1,EC50,'>',5011.87
N#Cc1ccccc1CN1CCC(N2CCC(n3c(=O)[nH]c4ccccc43)CC2)CC1,EC50,'=',490
CC1(C)CC(CNC(=O)c2ccccc2-c2nc(Cl)cs2)CC(C)(C)N1,EC50,'=',794.33
O=C(NCC1CCNCC1)c1ccccc1-c1cccc(Cl)c1,EC50,'=',63.1
Cc1c(Cl)cccc1-c1ccccc1C(=O)NCC1CCNCC1,EC50,'>',10000
O=C(NCC1CCNCC1)c1ccccc1-c1ccc(Cl)c(Cl)c1,EC50,'=',50.12
Cc1[nH]c(=O)c(C(=O)N[C@H]2CC(O)CC[C@@H]2O)cc1Cc1ccc(-n2cccn2)cc1,EC50,'=',12
CO[C@H]1CC[C@](C)(N2CCC(n3c(=O)oc4ccc(C)cc43)CC2)CC1,EC50,'=',7.943
CCO[C@H]1CC[C@](C)(N2CCC(n3c(=O)oc4ccccc43)CC2)CC1,EC50,'=',25.12
CCO[C@H]1CC[C@](C)(N2CCC(n3c(=O)oc4cc(F)c(C)cc43)CC2)CC1,EC50,'=',1
CCO[C@H]1CC[C@](C)(N2CCC(n3c(=O)oc4c(F)cc(C)cc43)CC2)CC1,EC50,'=',1.259
CCO[C@H]1CC[C@](C)(N2CCC(n3c(=O)oc4ccc(OC)cc43)CC2)CC1,EC50,'=',2.512
CN1CCC=C(c2nsnc2SCCCCCCCCCCCCSc2nsnc2C2=CCCN(C)C2)C1,EC50,'=',13000
O=[N+]([O-])c1ccc2c(c1)C(c1ccccc1)=NCC(=S)N2,EC50,'=',4479
CC[C@@H]1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=S,EC50,'=',187
Fc1ccccc1C1=N[C@@H](c2ccccc2)C(=S)Nc2ccc(Cl)cc21,EC50,'=',1465
CC(C)[C@@H]1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=S,EC50,'=',70
CC(C)[C@H]1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=S,EC50,'=',521
CC(C)=C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=S,EC50,'>',10000
CCCC1=N[C@@H](C(C)C)C(=S)Nc2ccc(Cl)cc21,EC50,'>',10000
CC1N=C(c2ccccc2)c2ccccc2NC1=S,EC50,'=',552
C[N+](C)(C)CCc1ccc2c(c1)OCC2.O=C[O-],EC50,'=',4800
O=C(N[C@H]1CCCC[C@@H]1O)C1CN(Cc2ccc(-n3cccn3)cc2)c2cccc(F)c2O1,EC50,'=',141.25
O=C(N[C@H]1CCOC[C@@H]1O)C1CN(Cc2ccc(-n3cccn3)cc2)c2ccccc2O1,EC50,'=',186.21
O=C(NC1CCCCC1)C1CN(Cc2ccc(-n3cccn3)cc2)c2ccccc2O1,EC50,'>',10000
