SMILES,Type,Relation,Value
C/C(=N\OC(=O)Nc1ccccc1)c1cccc(-c2cccs2)c1,IC50,'>',10000
NC[C@H]1CC[C@H](C(=O)O)CC1,IC50,,
CN1CCC=C(c2nsnc2Cl)C1,IC50,'=',537
CCOC(=O)C1=C(C)[N+](C)(C)c2ccc3c(c21)CN1CCc2cc(OC)ccc2C1O3.[I-],IC50,'=',12.7
CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,IC50,,
,IC50,,
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,IC50,,
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,IC50,,
CCCCCCCCCCCC(OC(=O)C(CCCCN(O)C(C)=O)NC(=O)c1coc(-c2ccccc2O)n1)C(C)C(=O)NC1CCCCN(O)C1=O,IC50,'=',2030
CCCCCCCc1nsnc1C1=CCCN(C)C1,IC50,'=',224
O=C(O[C@H]1CN2CCC1CC2)N(Cc1ccccc1)Cc1cccs1,IC50,'=',8.8
O=C(O[C@H]1C[N+]2(CCOc3ccccc3)CCC1CC2)N(Cc1cccs1)c1ccccc1.[Br-],IC50,'=',0.4
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,IC50,'=',28.2
CCCCCSc1nsnc1C1=CCCN(C)C1,IC50,'=',0.002
Clc1ccc(-c2ccc(CCCNc3ccc(CN4CCCCC4)cc3)cc2)cc1,IC50,'=',325
,,,
O=[N+]([O-])c1cccc(C#CCO/N=C2\CN3CCC2C3)c1,IC50,'=',15100
Cl.Clc1cc(CO/N=C2\CN3CCC2C3)on1,IC50,'=',36300
CCN1CCN(C(=O)C(Cc2ccccc2)c2ccccc2)CC1C,IC50,'=',260
Cl.Clc1cc(CO/N=C/C2CN3CCC2CC3)on1,IC50,'=',23500
CCCCCCOC(=O)C1CN(CC)CC=C1c1ccccc1.O=C(O)C(O)C(O)C(=O)O,IC50,'=',21.1
C/C(C#Cc1ccccc1)=C\CO/N=C1\CN2CCC1C2,IC50,'=',1090
CCN1CCC(c2ccccc2)=C(C(=O)OCCc2ccc(C)cc2)C1.O=C(O)C(=O)O,IC50,'=',8.8
