SMILES,Type,Relation,Value
COc1ccc(NC(=O)N2CCN(c3ccccc3Cl)CC2)cc1N1CCN(C)CC1,Ki,'>',10000
CC(C1=C(CCN2CCCC2)Cc2ccccc21)c1ccccn1,Ki,'=',1047.13
Cc1ccc([C@H]2CCC[N+]2(C)C)o1.[I-],Ki,'=',13803.84
CCO/C(O)=C1\CN2CC(CCC2COCc2ccccc2)C1=O,Ki,'=',250
CCN(CCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1)C(=O)c1ccc(F)cc1,Ki,'=',59.4
CCN(CC)CCOCOC(=O)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,Ki,'=',20
NC1CCN(C(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,Ki,'=',3
NCC1CCN(C(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)C1,Ki,'=',2.1
COc1ccc([S+]([O-])c2ccc(C(C)C3CCN(C4CCCCC4)CC3)cc2)cc1,Ki,'=',0.53
C[C@@H]1O[C@H](C[N+](C)(C)C)COC1(C)C.[I-],Ki,'=',67608.3
C[C@H]1COC[C@@H](C[N+](C)(C)C)O1.[I-],Ki,'=',30199.52
CN(C)CCC1=C(Cc2cccnn2)c2ccc(F)cc2C1,Ki,'>',10000
C1=C(c2nc3ccccc3o2)C2CCN1CC2,Ki,'=',100
COc1ccc(Cn2c(N3CC[C@@H](N(C)C)C3)nc3ccccc32)cc1,Ki,'=',2500
COc1ccccc1C(=O)C1=CN2CCC1CC2,Ki,'=',422
CN1C2CCCC1C(OC(=O)OCC(Cl)(Cl)Cl)C2,Ki,'=',27000
COc1ccc(CCOC(=O)C2(c3ccccc3)CCN(C)CC2)cc1OC,Ki,'=',10800
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,Ki,'=',0.329
O=C(NC1CCN(CC2CCCC2)CC1)C(O)(c1ccccc1)C1CCCC1,Ki,'=',4300
Cc1cccc(CN2CCC(NC(=O)C(O)(c3ccccc3)C3CCCC3)CC2)c1,Ki,'=',1.4
CCOC(=O)Nc1ccnc(N2CCc3ccccc3C2)c1,Ki,,
CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CC1,Ki,'>',10000
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,Ki,'=',3654
CN(C)CCN(Cc1cccs1)c1ccccn1,Ki,'=',1150
