,SMILES,Value
0,CCCCCCSc1nsnc1C1=CCCN(C)C1,1e-06
1,CCCCCCSc1nsnc1C1=CCCN(C)C1,1e-06
2,CCCCCSc1nsnc1C1=CCCN(C)C1,2e-06
3,CCCCCSc1nsnc1C1=CCCN(C)C1,2e-06
4,CCCCCOc1nsnc1C1=CCCN(C)C1,4e-06
5,CCCCCOc1nsnc1C1=CCCN(C)C1,4e-06
6,CCCCCCCCCCCCCC(=O)NCC(=O)N[C@@H](CO)C(=O)OCc1ccccc1,7.943e-06
7,CCCCCCOc1nsnc1C1=CCCN(C)C1,8e-06
8,CCCCCCCCCCCCCC(=O)NCC(=O)N[C@@H](CO)C(=O)OCc1ccccc1,8e-06
9,CCCCCCOc1nsnc1C1=CCCN(C)C1,8e-06
10,CCCCCCCCCCCCCCCC(=O)OC[C@H](NC(=O)CNC(=O)CCCCCCCCCCCCC)C(=O)OCc1ccccc1,1.288e-05
11,CCCCCCCCCCCCCCCC(=O)OC[C@H](NC(=O)CNC(=O)CCCCCCCCCCCCC)C(=O)OCc1ccccc1,1.2882e-05
12,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12,1.3e-05
13,C[N+]1(C)[C@@H]2C[C@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@@H]1[C@H]1O[C@H]12,1.3e-05
14,C[N+]1(C)[C@@H]2C[C@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@@H]1[C@H]1O[C@H]12,3.16e-05
15,Cc1scc2c1N(C(=O)CN1CCN(CCCCCCCCCCNC(=O)Cc3ccc4c(c3)C(C)(C)C3=C5C=C6C7=[N+](CCC6OC5CCN34)c3ccc(S(=O)(=O)[O-])cc3C7(C)C)CC1)c1ccccc1NC2=O,3.1620000000000006e-05
16,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12,3.1620000000000006e-05
17,Cc1scc2c1N(C(=O)CN1CCN(CCCCCCCCCCNC(=O)Cc3ccc4c(c3)C(C)(C)C3=C5C=C6C7=[N+](CCC6OC5CCN34)c3ccc(S(=O)(=O)[O-])cc3C7(C)C)CC1)c1ccccc1NC2=O,3.1623e-05
