SMILES,Activity
Cc1ccc(F)c([C@@H](C)[C@H](NS(=O)(=O)c2cc(C(=O)N(C)C)c(Cl)cc2C(N)=O)c2n[nH]c(=O)o2)c1C,1
Cc1ccc(F)c([C@@H](C)[C@H](NS(=O)(=O)c2ccc(Cl)cc2C(N)=S)c2n[nH]c(=O)o2)c1C,1
COc1c(S(=O)(=O)N[C@H](c2n[nH]c(=O)o2)[C@H](C)c2c(F)ccc(C)c2C)ccc(Cl)c1[C@@H](C)O,1
Cc1ccc(F)c([C@@H](C)[C@H](NS(=O)(=O)c2cc(C(C)(C)O)ccc2C(N)=O)c2n[nH]c(=O)o2)c1C,1
Cc1ccc(F)c([C@@H](C)[C@H](NS(=O)(=O)c2cc(C(C)(C)O)c(Cl)cc2C(N)=O)c2n[nH]c(=O)o2)c1C,1
Cc1ccc(F)c([C@@H](C)[C@H](NS(=O)(=O)c2ccc(Br)cc2C(N)=O)c2n[nH]c(=O)o2)c1C,1
Cc1ccc(F)c([C@@H](C)[C@H](NS(=O)(=O)c2cc(OCC(F)F)ccc2C(N)=O)c2n[nH]c(=O)o2)c1C,1
Cc1ccc(F)c([C@@H](C)[C@H](NS(=O)(=O)c2ccc(Cl)cc2C(=O)NO)c2n[nH]c(=O)o2)c1C,1
Cc1ccc(F)c([C@@H](C)[C@H](NS(=O)(=O)c2cc(C(C)(C)O)c(F)cc2C(N)=O)c2n[nH]c(=O)o2)c1C,1
Cc1ccc(F)c([C@@H](C)[C@H](NS(=O)(=O)c2ccc(Cl)cc2C(N)=O)c2n[nH]c(=O)o2)c1C,1
Cc1ccc(F)c([C@@H](C)[C@@H](c2n[nH]c(=O)o2)N(C)S(=O)(=O)c2ccc(Cl)cc2C(N)=O)c1C,1
Cc1ccc(F)c([C@@H](C)[C@H](NS(=O)(=O)c2ccc(F)c(C(C)(C)O)c2F)c2n[nH]c(=O)o2)c1C,1
COc1cc(C#N)ccc1S(=O)(=O)N[C@H](c1n[nH]c(=O)o1)[C@H](C)c1c(F)ccc(C)c1C,1
Cc1cc(S(=O)(=O)N[C@H](c2n[nH]c(=O)o2)[C@H](C)c2c(F)ccc(C)c2C)c(C(N)=O)cc1Cl,1
COc1cc(S(=O)(=O)N[C@H](c2n[nH]c(=O)o2)[C@H](C)c2c(F)ccc(C)c2C)c(C(N)=O)cc1Cl,1
Cc1ccc(F)c([C@@H](C)[C@H](NS(=O)(=O)c2ccc(C(F)(F)F)cc2C(N)=O)c2n[nH]c(=O)o2)c1C,1
COc1c(S(=O)(=O)N[C@H](c2n[nH]c(=O)o2)[C@H](C)c2c(F)ccc(C)c2C)ccc(Cl)c1[C@H](C)O,1
