SMILES,Activity
C[C@@H]1CN(c2ccc(C#N)c(C(F)(F)F)c2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@@H]1CN(c2ccc(F)c(C(F)F)c2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@H]1CN(C(=O)NCCC2CCN(Cc3ccccc3)CC2)CCN1c1cc(F)c(F)c(F)c1,1
C[C@@H]1CN(c2cc(F)cc(F)c2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@@H]1CN(c2ccc(C(F)(F)F)cc2F)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@@H]1CN(c2ccc(OC(F)(F)F)c(C#N)c2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@@H]1CN(c2ccc(C(F)(F)F)cc2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@@H]1CN(c2cc(F)c(F)c(F)c2)CCN1C(=O)NCCC1CCN(Cc2ccc(F)cc2)CC1,1
C[C@@H]1CN(c2cc(F)c(F)c(F)c2)CCN1C(=O)NCCC1CCN(Cc2ccc(O)cc2)CC1,1
C[C@@H]1CN(c2ccc(C#N)c(OC(F)(F)F)c2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@@H]1CN(c2ccc(C#N)c(F)c2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@@H]1CN(c2ccc(Cl)c(F)c2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@@H]1CN(c2cc(F)c(Cl)c(F)c2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
COc1cc(N2CCN(C(=O)NCCC3CCN(Cc4ccccc4)CC3)[C@H](C)C2)cc(F)c1C#N,1
C[C@@H]1CN(c2ccc(F)c(F)c2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@@H]1CN(c2cccc(OC(F)(F)F)c2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@@H]1CN(c2cc(F)c(F)c(Cl)c2)C[C@H](C)N1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@@H]1CN(c2ccc(OC(F)(F)F)cc2F)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@H]1CN(c2ccc(OC(F)(F)F)c(C#N)c2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@@H]1CN(c2cc(F)c(F)c(Cl)c2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@H]1CN(c2ccc(F)c(C#N)c2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@H]1CN(c2ccc(OC(F)(F)F)c(F)c2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@@H]1CN(c2ccc(F)c(C#N)c2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
COc1ccc(N2C[C@@H](C)N(C(=O)NCCC3CCN(Cc4ccccc4)CC3)[C@@H](C)C2)cc1C#N,1
C[C@@H]1CN(c2cc(F)c(F)c(F)c2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@@H]1CN(c2cccc(C#N)c2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@H]1CN(c2ccc(OC(F)(F)F)cc2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@@H]1CN(c2cc(F)c(OC(F)(F)F)c(F)c2)CCN1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
C[C@@H]1CN(c2cc(F)c(C#N)c(F)c2)C[C@H](C)N1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1
CCN(CC)CCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,1
CC(=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,1
CCNCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,1
CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,1
CC(=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,1
CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,1
CC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,1
CC(=O)N[C@H](CCCN)C(=O)NC(=O)[C@H](CCCNC(=N)N)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,1
CC(=O)N[C@H](CCCN)C(=O)NC(=O)[C@H](CCNC(=N)N)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,1
CC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,1
CC(=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,1
CC(=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)CNCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,1
