SMILES,Activity
CN1CCC[C@H]1c1ccc([C@](O)(c2ccccc2)C2CCCCC2)o1,1
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,1
Clc1ccc(-c2ccc(C#Cc3ccc(OCCN4CCCC4)cc3)nc2)cc1,1
O=c1[nH]c2ccccc2n1C1CCN(Cc2cc3c(cc2Cl)OCO3)CC1,1
Cn1cc(-c2ccc(CN3C(=O)C(=O)c4ccccc43)c(F)c2)cn1,1
CN1CCC[C@@H]1c1ccc([C@](O)(c2ccccc2)C2CCCCC2)o1,1
O=C(OCCCc1ccc(F)c(F)c1)N(c1ccccc1)C1CN2CCC1CC2,1
O=C(NC1CCN(Cc2cccnc2)CC1)C(O)(c1ccccc1)C1CCCC1,1
O=C(Nc1ccc(F)cc1-c1cccc(Cl)c1)O[C@H]1CN2CCC1CC2,1
COc1ccc2c(c1)C(c1ccccc1)=N[C@@H](C(C)C)C(=S)N2,1
O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)CCc3ccccc32)CC1,1
C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccccc1)c1ccccc1)C2,1
CN1[C@@H]2CC[C@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,1
Cc1cc(F)cnc1N1CCN(C(=O)CCCc2cccc3ncccc23)C(C)C1,1
C(#Cc1ccccc1)CSc1nsnc1[C@@H]1C[N@@]2CCC[C@H]1C2,1
c1ccc2oc(C3CN4CCC3CC4)cc2c1,1
CCNCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,1
O=C(N1CCNCC1)[C@](O)(c1ccccc1)[C@@H]1CCC(F)(F)C1,1
O=C(NC1CCCCC1)c1cn(Cc2ccc(-n3cccn3)cc2)c2cccnc12,1
Cc1ccc(C)c(Cn2nc3c4ccccc4n(Cc4ccccc4)cc-3c2=O)c1,1
O=C(NC1CCNCC1O)C1=CN(Cc2cccc(F)c2F)c2cccc(F)c2O1,1
CC(C)[C@@H]1N=C(c2ccccc2)c2cc(C(F)(F)F)ccc2NC1=S,1
CCOC(=O)N1C[C@@H]2CC[C@@H](C1)C2NCCNC(=O)c1cccs1,1
O=C(C1CN(S(=O)(=O)c2cccnc2)C1)N1CCN(c2ccncc2)CC1,1
CCCCCCSc1nsnc1OC1CN2CCC1CC2,1
CCCCCCOc1nsnc1OC1CN2CCC1CC2,1
O=C(O[C@H]1CN2CCC1CC2)N(Cc1cccc(F)c1)c1cccc(F)c1,1
O=C(NC[C@H]1CCNC[C@H]1F)c1c(F)cccc1-c1cccc(Cl)c1,1
O=C(CCNS(=O)(=O)c1cccc2nsnc12)N1CCN(c2ccncc2)CC1,1
Cn1cc2cc(-c3cc(F)c(CN4Cc5occc5C4=O)c(F)c3)ccc2n1,1
O=C(N[C@H]1CCCC[C@@H]1O)c1cn(Cc2ccncc2)c2cccnc12,1
CN1CCC[C@@H]1c1ccc([C@@](O)(c2ccccc2)C2CCCCC2)o1,1
O=C(CCS(=O)(=O)c1cccc2ncsc12)N1CCN(c2ccncc2F)CC1,1
CC[C@@H](C)[C@@H](O)C(=O)OC[C@H]1CCN2CCC[C@@H]12,1
CNCCC=C1c2ccccc2CCc2ccccc21,1
CCCCCCOc1nccnc1OC1CN2CCC1C2,1
C[C@H]1CNCC[C@H]1CNC(=O)c1c(F)cccc1-c1cccc(Cl)c1,1
C[C@@H]1CN(c2ccncc2Cl)CCN1C(=O)CCCc1cccc2ncccc12,1
CCCCCCCOc1nsnc1C1=CCCN(C)C1,1
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,1
C[N+](C)(C)C[C@@H]1CO[C@](c2ccccc2)(C2CCCCC2)CO1,1
CCCCCCSc1nccnc1SC1CN2CCC1C2,1
C(#Cc1ccccc1)COc1nsnc1[C@@H]1C[N@@]2CCC[C@H]1C2,1
CN1CCC[C@H]1[C@H]1CS[C@@](c2ccccc2)(C2CCCCC2)O1,1
O=C(OCCc1ccc(Cl)c(Cl)c1)N(c1ccccc1)C1CN2CCC1CC2,1
CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc21,1
CCCCc1cc(OC2CCN(CCCCNS(=O)(=O)CC)CC2)c2ncccc2c1,1
CN(C)CCOC(c1ccccc1)c1ccccc1,1
CCCCCCOc1nccnc1SC1CN2CCC1C2,1
Cc1ccc2nc(O)n(C3CCN(Cc4cc5c(cc4Cl)OCO5)CC3)c2c1,1
CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1,1
O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2c(F)cccc2c1=O,1
O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2cccc(F)c2c1=O,1
Cc1ccoc1CN(C(=O)OC1CC2CCC(C1)[N+]2(C)C)c1ccccc1,1
Cc1ccsc1CN(C(=O)OC1CC2CCC(C1)[N+]2(C)C)c1ccccc1,1
O=C(CCc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,1
CC1(C)CC(CNC(=O)c2ccccc2-c2nc(Cl)cs2)CC(C)(C)N1,1
O=C(OC1CN2CCC1CC2)C1=C/C(=C\c2cccnc2)c2ccccc21,1
CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2NC(=O)c2ccccc21,1
O=C(NCC1=C(F)CNCC1)c1c(-c2cccc(Cl)c2)ccc(Cl)c1F,1
CCOC(=O)N1CCC(N2CCC[C@@H](NC(=O)c3ccccc3C)C2)CC1,1
C[N+](C)(C)C[C@H]1COC[C@@](c2ccccc2)(C2CCCCC2)O1,1
C[N+](C)(C)CCCc1ccc2ccoc2c1,1
Cc1cc(CN2CCC(NC(=O)C(O)(c3ccccc3)C3CCCC3)CC2)cs1,1
C[N+](C)(C)C[C@@H]1COC[C@](c2ccccc2)(C2CCCCC2)O1,1
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,1
O=C(O[C@H]1CN2CCC1CC2)[C@@](O)(c1ccccc1)c1cccs1,1
O=C(O[C@H]1CN2CCC1CC2)[C@](O)(c1ccccc1)c1cccs1,1
CCc1ccc(-c2ccoc2C2=CN3CCC2CC3)cc1,1
C[N+]1(C)C2CCC1CC(OC(=O)N(CC1CCCCC1)c1ccsc1)C2,1
COc1ccc(CCN(C(=O)OC2CCN(C)CC2)c2ccccc2)cc1OC,1
O=C(O)C(O)(c1ccccc1)c1ccccc1,1
O=C(Nc1ccc(F)cc1-c1ccc(Cl)c(Cl)c1)OCC1CCNCC1,1
CC(=O)NC1CCN(CCCN2C(=O)CCc3cc(F)c(F)cc32)CC1,1
CN1C2CCC1CC(OC(=O)N(Cc1ccc(C#N)cc1)c1ccsc1)C2,1
Cc1ccccc1C(OCCN(C)C)c1ccccc1,1
COc1ccc(CCCOC(=O)N(c2ccccc2)C2CN3CCC2CC3)cc1F,1
O=C(O[C@H]1CN2CCC1CC2)N(Cc1ccccc1)c1ccc(F)cc1,1
Cc1ccc(N(Cc2ccccc2)C(=O)O[C@H]2CN3CCC2CC3)cc1,1
COc1ccc(COC(=O)N(c2ccccc2)C2CN3CCC2CC3)cc1OC,1
COc1ccc(Cn2cc(C(=O)O)c(=O)c3c(F)ccc(F)c32)cc1,1
COc1ccc(CCN(C(=O)OC2CN3CCC2CC3)c2ccccc2)cc1OC,1
C[N+](C)(C)C[C@@H]1COC(c2ccccc2)(c2ccccc2)CO1,1
CCC(=O)NC1CCN(CCCN2C(=O)COc3cc(F)c(F)cc32)CC1,1
N#Cc1cc(N2CCN(C(=O)CCCc3cccc4ncccc34)CC2)ccn1,1
C[N+](C)(C)C[C@@H]1COCC(c2ccccc2)(c2ccccc2)O1,1
C[N+]1(C)CCCC1c1ccc(C(O)(c2ccccc2)C2CCCCC2)o1,1
CC1CNCC=C1CNC(=O)c1c(-c2cccc(Cl)c2)ccc(Cl)c1F,1
CN(C(=O)C1c2ccccc2Oc2ccccc21)[C@H]1CN2CCC1CC2,1
CCCCCCCc1noc(C2=CCCN(C)C2)n1,1
O=C(O)c1cn(Cc2ccc(S(=O)(=O)F)cc2)c2ccccc2c1=O,1
Fc1cccc(-c2cc(Cl)ccc2Cl)c1-c1nc(C2CCNCC2)no1,1
Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,1
Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N+](C)([O-])CC1,1
Cc1c(C2=CN3CCC2CC3)oc2ccccc12,1
CN1C2CCCC1C(OC(=O)C1CCCCC1)C2,1
COc1ccc(CCCOC(=O)N(c2ccccc2)C2CN3CCC2CC3)cc1,1
Cc1cc(F)cnc1N1CCN(C(=O)CCCc2cccc3ncccc23)CC1,1
CC(=O)c1ccc(C2=CN3CCC2CC3)s1,1
O=C(Nc1ccc(F)cc1-c1cc(Cl)cc(Cl)c1)OCC1CCNCC1,1
CN(C)CCCN1c2ccccc2Sc2ccccc21,1
CCCCN1C2CCC1CC(NC(c1ccc(F)cc1)c1ccc(F)cc1)C2,1
C=CCN1C2CCC1CC(NC(c1ccc(F)cc1)c1ccc(F)cc1)C2,1
CN1C2CCC1CC(N(C)C(c1ccc(F)cc1)c1ccc(F)cc1)C2,1
CN1[C@@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,1
[C]N([C])[C][C][C]=C1c2ccccc2[C][C]c2ccccc21,1
O=C(NC1CCN(CCCN2C(=O)COc3ccccc32)CC1)C1CCCC1,1
