SMILES,Activity
Fc1cc(-c2ccccc2Cl)cc(-n2nnc(-c3ccccn3)n2)c1,1
Fc1cc(-c2c(F)cccc2F)cc(-n2nnc(-c3ccccn3)n2)c1,1
Cc1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,1
Cc1ccccc1-c1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,1
Clc1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,1
Fc1cccc(F)c1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,1
Oc1ccccc1-c1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,1
Fc1cccc(-c2cc(F)cc(-n3nnc(-c4ccccn4)n3)c2)c1,1
COC(=O)c1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,1
FC(F)(F)c1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,1
Fc1cc(-c2ccccc2)cc(-n2nnc(-c3ccccn3)n2)c1,1
COc1ccccc1-c1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,1
Fc1cc(-c2ccccc2F)cc(-n2nnc(-c3ccccn3)n2)c1,1
Oc1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,1
O=[N+]([O-])c1ccccc1-c1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,1
COc1ccc(C)cc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,1
Fc1cc(-c2ccccc2OC(F)(F)F)cc(-n2nnc(-c3ccccn3)n2)c1,1
CCOc1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,1
COC(=O)c1cccc(-c2cc(F)cc(-n3nnc(-c4ccccn4)n3)c2)c1,1
c1ccc(-c2cccc(-n3nnc(-c4ccccn4)n3)c2)cc1,1
Fc1ccc(-c2cc(F)cc(-n3nnc(-c4ccccn4)n3)c2)cc1,1
COC(=O)c1cccc(-c2cccc(-n3nnc(-c4ccccn4)n3)c2)c1,1
Fc1ccc(F)c(-c2cccc(-n3nnc(-c4ccccn4)n3)c2)c1,1
O=Cc1ccccc1-c1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,1
FC(F)(F)Oc1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,1
NC(=O)c1ccccc1-c1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,1
CC(=O)c1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,1
